rowlabel	sex	age	livharm1	ethgrp2	educat3	work	yrsarea	resyrago	tenure1	rural2	rubbcomm	vandcomm	poorhou	tcemdiqu2	tcwmdiqu2	causem	walkdark	walkday	homealon	tcviolent	tcsteal	wburgl	wmugged	wcarstol	wfromcar	wraped	wattack	winsult	wraceatt	crimerat	tcarea	tcneigh	bcsvictim	tcindwt
76018060	1	37	1	1	1	1	7	 	2	1	 	 	 		1	5	1	1	2	-1.376823306	-0.060992308	3	4	3	3	4	4	4	4	3	1.303678989	-0.810985446	0	0.506030798
76021180	2	67	6	1	2	2	4	 	1	1	4	4	4		1	4	4	1	1	 	 	2	4	 	 	3	4	2	4	4	-1.055771112	-0.504742563	1	0.219400361
76022020	2	20	3	1	4	1	7	 	2	1	2	3	3		1	 	3	1	2	-0.365613729	0.216869026	3	3	2	3	3	3	3	4	3	1.496017933	-0.417127043	1	0.622990191
76022100	2	84	6	1	2	2	6	 	2	1	2	3	3		1	 	 	 	2	 	 	3	3	 	 	3	3	 	3	 	 	 	0	0.313444793
76022140	2	43	5	1	2	1	3	 	4	1	3	3	3		1	10	1	1	 	 	 	3	3	 	 	4	3	4	4	 	-0.247113526	1.918311477	1	0.269144505
76022260	1	52	1	1	3	1	7	 	2	1	2	4	3		1	1	2	1	1	-0.50420928	0.974358022	2	3	2	2	3	3	4	3	4	-0.388926595	-0.594954491	1	0.506777823
76022300	2	57	1	1	5	2	7	 	4	1	2	3	2		1	5	4	2	3	0.798225999	1.201166034	2	2	1	2	2	2	2	3	3	1.121693134	1.207676291	1	0.7659747
76023020	1	44	1	1	4	1	6	 	5	1	3	4	4		1	7	1	1	1	-1.376823306	-0.060992308	3	4	3	3	4	4	4	4	4	1.445878744	-1.158498764	0	0.524476171
76023060	2	65	6	1	2	2	7	 	1	1	3	4	3		1	1	3	1	1	-0.529583156	-0.447037697	4	3	3	3	4	3	3	4	3	-0.022226615	-0.054092195	0	0.23629947
76023220	2	29	2	1	1	2	5	 	4	1	2	2	2		1	7	4	3	3	 	 	2	2	 	 	4	4	1	4	2	2.101022959	0.443743467	0	0.57711333
