rowlabel	sex	age	livharm1	ethgrp2	educat3	work	yrsarea	resyrago	tenure1	rural2	rubbcomm	vandcomm	poorhou	tcemdiqu2	tcwmdiqu2	causem	walkdark	walkday	homealon	tcviolent	tcsteal	wburgl	wmugged	wcarstol	wfromcar	wraped	wattack	winsult	wraceatt	crimerat	tcarea	tcneigh	bcsvictim	tcindwt
71335020	1	28	2	1	2	1	7	 	2	1	3	3	3	3	 	5	2	2	1	-.0154461339116096	1.27996551990509	1	2	2	2	2	3	3	4	3	1.36056351661682	-.389571487903595	0	1.54775094985962
71335060	2	55	1	1	3	1	7	 	1	1	3	3	3	4	 	4	2	1	1	-.482923567295074	-.264292985200882	3	3	3	3	3	4	3	4	3	-.490073949098587	.992965221405029	0	1.33450412750244
71335180	2	37	3	1	4	1	5	 	1	1	4	4	4	3	 	2	2	1	1	-.231467068195343	-.199700072407722	3	3	3	3	4	3	2	4	3	-.935246586799622	1.19438028335571	0	1.96492314338684
71335260	2	73	1	1	1	2	7	 	1	1	3	3	3	3	 	6	4	3	1	 	 	1	2	 	 	1	1	2	1	1	1.06297564506531	-.108816429972649	0	1.3038364648819
71335300	2	78	6	1	1	2	7	 	4	1	3	3	3	2	 	5	4	2	3	 	 	1	1	 	 	3	2	3	4	2	4.11293411254883	-1.08580458164215	0	.746631324291229
71336180	2	55	4	1	4	2	6	 	3	2	3	3	3	3	 	5	2	2	2	1.38241791725159	.134560912847519	3	2	2	2	1	2	2	3	1	.0988538488745689	3.02568387985229	0	.667732357978821
71336220	1	79	1	1	5	2	7	 	1	2	4	4	4	3	 	5	2	2	1	-1.49292147159576	.624694526195526	4	4	2	2	3	4	4	4	2	-.990745663642883	-.479460746049881	0	1.22579491138458
71336260	2	56	5	1	4	1	6	 	2	2	4	4	4	3	 	2	1	1	1	-.609199285507202	-1.59586346149445	4	4	4	4	4	4	3	4	2	-.297520399093628	-.583058655261993	0	.667732357978821
71359060	1	64	1	1	1	1	7	 	1	1	3	3	3	5	 	4	2	2	2	-.729312837123871	.0759832561016083	2	3	3	3	4	4	4	3	3	.717482686042786	.550564169883728	0	.583951413631439
71359100	1	31	2	1	5	1	2	2	2	1	 	 	3	5	 	4	1	1	1	 	 	3	4	3	4	 	4	4	4	 	-.583564758300781	-.501034915447235	1	.680647075176239
